#{"t_start": 1775368365.7121854, "env_id": "None"}
r,l,t
1129.858091,334,1114.622368
1132.527573,330,1115.624129
1136.521125,332,1116.613557
1142.641372,334,1117.654824
1137.146438,333,1120.58405
1137.609608,332,1121.482514
1142.185187,331,1122.444294
1149.274858,334,1123.53761
1134.936042,333,1124.656433
1135.584322,332,1125.6125
1135.759228,330,1128.603906
1128.833637,330,1129.613939
1123.97839,330,1130.603384
1132.795364,331,1131.628975
1135.045497,332,1132.621871
1130.124394,330,1133.53237
1144.703727,333,1134.554132
1147.768755,333,1137.522382
1138.188202,332,1138.491916
1139.716681,333,1139.437009
1140.593641,332,1140.357815
1135.903387,333,1141.314026
1149.463731,333,1142.250046
1134.380502,332,1145.1381
1147.515369,334,1146.064029
1143.481247,332,1146.993374
1147.876631,332,1147.943266
1130.570081,330,1148.85763
1141.571989,332,1149.784254
1142.121519,331,1152.556597
1133.485136,331,1153.473956
1139.875285,332,1154.367205
1139.852673,335,1155.216331
1137.778235,331,1156.050978
1149.378207,334,1156.90421
1148.418801,334,1159.487634
1147.015948,334,1160.346452
1142.508238,333,1161.20418
1144.707041,332,1162.076939
1141.32323,333,1162.913472
1146.132164,333,1163.747776
1148.70961,333,1166.292062
1144.139124,332,1167.187048
1146.707171,334,1168.021507
1143.44463,334,1168.843785
1149.93016,333,1169.698332
1149.711876,333,1170.531337
1153.789114,334,1173.162741
1151.27112,335,1174.020573
1149.237159,333,1174.877689
1145.842171,333,1175.757736
1147.179901,335,1176.604331
1155.252153,334,1177.511344
1152.522668,335,1178.551076
1153.057754,333,1181.651928
1141.423438,331,1182.528933
1149.490398,334,1183.488273
1142.234539,331,1184.373805
1139.675097,330,1185.230406
1145.822814,333,1186.067858
1135.655619,332,1188.599396
1142.595436,332,1189.460124
1149.218412,332,1190.326144
1149.339074,331,1191.278835
1153.775552,334,1192.157288
1153.312726,334,1193.008577
1153.984945,334,1195.560136
1154.869621,334,1196.422308
1154.520476,333,1197.271591
1148.438441,333,1198.140246
1151.718178,333,1198.987682
1154.623456,334,1199.847241
1147.501582,334,1202.37257
1152.593641,334,1203.213972
1147.43265,332,1204.125923
1148.925333,332,1204.983746
1159.771334,335,1205.815433
1157.28455,335,1206.69371
1148.252863,332,1209.204402
1146.7866,333,1210.060092
1145.819036,334,1210.859928
1150.445727,335,1211.690291
1149.939039,334,1212.525112
1155.00148,336,1213.336694
1152.907449,334,1215.844981
1153.814965,334,1216.667598
1145.873485,333,1217.48894
1147.207066,334,1218.325305
1151.778546,334,1219.187559
1156.145381,335,1220.043994
1135.324336,335,1222.510758
1147.626491,332,1223.473026
1151.666631,333,1224.481734
1160.367834,335,1225.500033
1157.857025,336,1226.498135
1149.922589,333,1227.451908
1153.155313,334,1228.279078
1146.499468,333,1230.775756
1141.621396,333,1231.624485
1149.72918,332,1232.532825
1144.174789,332,1233.43348
1152.685204,336,1234.305454
1154.413495,333,1235.165351
1154.537027,334,1238.052391
1153.082566,334,1238.97813
1157.934337,334,1239.795167
1157.36398,333,1240.66591
1152.171729,334,1241.519684
1152.488265,334,1242.393561
1147.958325,333,1245.239436
1142.633999,334,1246.140998
1152.511179,335,1247.035754
1143.653301,333,1247.951872
1138.363741,332,1248.812004
1144.708511,332,1249.713712
1150.600847,334,1252.592694
1161.71914,335,1253.437651
1151.645999,333,1254.286683
1150.415127,332,1255.162005
1155.667017,335,1256.108593
1150.830461,333,1256.981734
1158.453814,334,1259.662452
1166.905213,337,1260.595913
1153.660037,333,1261.487142
1148.331372,334,1262.37364
1156.801734,333,1263.246176
1166.315018,336,1264.101508
1157.772573,334,1266.674848
1165.524919,335,1267.643901
1162.483405,335,1268.642445
1155.843995,334,1269.499862
1163.6171,336,1270.456876
1156.590801,334,1271.340431
1171.990185,337,1273.927265
1166.08972,336,1274.798554
1166.0889,337,1275.676062
1164.397324,336,1276.57895
1164.781988,336,1277.471797
1162.307341,335,1278.427438
1162.250254,336,1281.341844
1161.091061,335,1282.23064
1164.055653,336,1283.142283
1160.540988,335,1284.010289
1174.097719,338,1284.883662
